Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,lucene-svd-blend,0.5,0.04,39.226,172,860,860,1.0,0.699756811257579,0.7738601105874492,0.9728401417313196,0.03744175300228611,0.06009919181646417,0.06427944589560601
1,ii-svd-blend,0,44.915,91.19800000000001,173,865,865,1.0,0.6608457640942438,0.7303966396647297,0.974028462991265,0.053475103558062904,0.08758255049685797,0.09554615742691377
5,ii-svd-blend,0.6,0.129,85.059,172,860,860,1.0,0.7003549750934606,0.7761281022379793,0.9733978658922727,0.03879318952282434,0.06671897248459244,0.07099407399806604
5,lucene-svd-blend,0.4,0.033,29.076,172,860,860,1.0,0.699643852700147,0.7739746175770927,0.9731531345273587,0.03813956644240209,0.060084657187486464,0.06377016231883002
1,lucene-svd-blend,0,0.056,31.684,173,865,865,1.0,0.6608457640942438,0.7303966396647297,0.974028462991265,0.053475103558062904,0.08758255049685797,0.09554615742691377
5,lucene-svd-blend,0.3,0.032,30.796,172,860,860,1.0,0.7011556653251815,0.7760160138640362,0.9743245924463694,0.03878202661528239,0.06781744799118962,0.07107259078121614
5,ii-svd-blend,0.5,0.26,76.513,172,860,860,1.0,0.701280781254158,0.777143758627115,0.9738927055617282,0.038878068539504464,0.06271759060953355,0.06687251191561765
5,ii-svd-blend,0.4,0.197,80.714,172,860,860,1.0,0.7028816081939357,0.7789191031765031,0.9739742684286423,0.038425724931433994,0.06274650659698687,0.06685978146670765
5,lucene-svd-blend,0.2,0.112,33.464,172,860,860,1.0,0.7043476137177652,0.7799691699790968,0.9745466608319427,0.0379751442440429,0.06360064022085225,0.06676234447267279
5,lucene-svd-blend,0.1,0.058,27.831,172,860,860,1.0,0.709237404918634,0.785805233939662,0.9741225292067843,0.037208368020462304,0.05233535469639188,0.05393895135812808
5,ii-svd-blend,0.3,0.133,78.199,172,860,860,1.0,0.70514194098169,0.7814489581822684,0.9739501101702008,0.037743467021840345,0.05705630498073767,0.05802424853589053
1,ii-svd-blend,0.1,0.187,86.57000000000001,173,865,865,1.0,0.6573531044152674,0.7272419729390146,0.9743204396848887,0.05489325727169023,0.09038721342198301,0.09812895559316395
5,lucene-svd-blend,0,0.05,28.62,172,860,860,1.0,0.7157822843287881,0.7934826604789073,0.9743099925701575,0.0352113681947361,0.04969888162103929,0.05067227837931976
1,lucene-svd-blend,0.1,0.076,29.888,173,865,865,1.0,0.6558658488374816,0.7267610049491203,0.9756355765240508,0.05801196142841887,0.09433874400086718,0.10225771327821796
5,ii-svd-blend,0.2,0.151,71.83500000000001,172,860,860,1.0,0.7080497986732722,0.7847260263465675,0.974160940299851,0.03680249713318983,0.053466169424794784,0.054248074857863
5,svd,,22.059,0.58,172,860,860,1.0,0.7193293541501647,0.796370338432411,0.9709653295488432,0.03983500081323257,0.061979790991146935,0.06583049200372065
5,ii-svd-blend,0.1,0.078,71.032,172,860,860,1.0,0.711597981675763,0.788740994140568,0.9744970895109328,0.035255278288144405,0.04936866707494346,0.050184025811813825
4,lucene,,0.08600000000000001,27.375,172,860,823,0.9569767441860465,0.7244613076278583,0.8118080795371392,0.9467523277223002,0.030321494572683086,0.0471853579729847,0.04746267314576767
5,ii-svd-blend,0,0.1,72.31,172,860,860,1.0,0.7157822843287881,0.7934826604789073,0.9743099925701575,0.0352113681947361,0.04969888162103929,0.05067227837931976
1,ii-svd-blend,0.2,0.09,75.796,173,865,865,1.0,0.6545676230795701,0.7248899716076513,0.9736525183573521,0.054686007174717964,0.10014552385532345,0.10522954844041282
5,ii,,0.054,64.486,172,860,860,1.0,0.7034663676469421,0.7796884258675911,0.9736029026348798,0.03660796740429246,0.06274730606481256,0.06947217604207652
1,lucene-svd-blend,0.2,0.021,21.032,173,865,865,1.0,0.6523334348179316,0.7246791455661992,0.9765051391831145,0.06112069083943081,0.09877485002098003,0.10681725002529778
4,lucene-svd-blend,0.9,6.8500000000000005,28.552,172,860,860,1.0,0.7282457458217912,0.8120542027976286,0.9690255836982639,0.03189497488719607,0.04915824532935508,0.049594753265863024
4,lucene-svd-blend,1.0,32.522,28.667,172,860,860,1.0,0.7351969213212197,0.8195952230468805,0.969606984485938,0.030321494572683086,0.0471853579729847,0.04746267314576767
4,lucene-svd-blend,0.8,0.028,27.686,172,860,860,1.0,0.7225762270816778,0.8060146023939915,0.9697931532556973,0.03394851524473031,0.052793777509919766,0.05320098496654583
1,ii-svd-blend,0.3,0.049,75.122,173,865,865,1.0,0.6525076459678125,0.7233484654251101,0.9736688657858826,0.055272259823479684,0.100636408252731,0.10419871274673614
4,ii-svd-blend,1.0,49.204,73.425,172,860,860,1.0,0.7216248300609337,0.8160006882210507,0.9695968199486964,0.027160143379920558,0.04304084989658612,0.04721774815841866
4,ii-svd-blend,0.9,0.073,73.968,172,860,860,1.0,0.7188068421786209,0.8119668016816944,0.9696247486105999,0.028798406632035947,0.04572935843216984,0.04961413644485483
1,lucene-svd-blend,0.3,0.042,28.257,173,865,865,1.0,0.6503107452432247,0.7241644622219683,0.9765832509513691,0.06193199604021461,0.11150383046954018,0.1179028962871711
4,lucene-svd-blend,0.7,0.035,28.062,172,860,860,1.0,0.718229021086085,0.8015103633855406,0.970067419740295,0.0412160482687329,0.06528451597323151,0.06518506676882517
