Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,21058,0.13,5,5,1.0,0.8270612912071182,0.9413414559938666,13.946678442077467,0.0,0.0,,0.0
5,lucene,,22074,0.12,5,5,1.0,0.4576402671406883,0.9848553249580755,12.00028381172028,0.0,0.0,,0.0
5,lucene,,22245,0.044,5,5,1.0,0.9802743201544323,0.9475353162334479,10.838550902326398,0.0,0.0,,0.0
5,lucene,,24389,0.068,5,5,1.0,1.3600513896728594,0.924068321252065,12.169733851395918,0.0,0.0,,0.0
5,lucene,,24797,0.149,5,4,0.8,0.6852050920183937,0.8878828228277525,13.154648767857287,0.06054201618350688,0.045454545454545456,22,0.045454545454545456
5,lucene,,24884,0.157,5,5,1.0,0.46435414274752534,0.9925833709020172,13.40015721397125,0.0,0.0,,0.0
5,lucene,,25411,0.15,5,5,1.0,0.5553411192794354,0.9866468619673997,13.635072130432615,0.0,0.0,,0.0
5,lucene,,25645,0.08600000000000001,5,5,1.0,0.7646531614247178,0.9907462141771882,14.430960369793672,0.0,0.0,,0.0
5,lucene,,26222,0.157,5,5,1.0,0.464785180387738,1.0,11.684818934934553,0.0,0.0,,0.0
5,lucene,,27456,0.107,5,5,1.0,0.8287428843519603,0.9360330404311624,12.4964252465794,0.0,0.0,,0.0
5,lucene,,28176,0.133,5,5,1.0,0.7846302619387711,0.997676185922844,14.881213565291738,0.0,0.0,,0.0
5,lucene,,30516,0.066,5,5,1.0,0.2890912390771926,1.0,13.135072130432615,0.0,0.0,,0.0
5,lucene,,31273,0.149,5,5,1.0,1.243621806002986,0.8933350239482922,12.627355000150859,0.0,0.0,,0.0
5,lucene,,31362,0.13,5,5,1.0,0.2518959660471432,1.0,13.565748688506009,0.0,0.0,,0.0
5,lucene,,32215,0.073,5,5,1.0,0.5702473680767167,0.9645543931907231,15.492566681438523,0.0,0.0,,0.0
5,lucene,,33173,0.074,5,5,1.0,0.7230945667355501,0.9661271703623366,13.830833772044642,0.0,0.0,,0.0
5,lucene,,34156,0.157,5,5,1.0,0.6655918862541028,0.9621236013632298,14.461763525616098,0.0,0.0,,0.0
